Gene	Transcript	Chrom	Start	End	Strand	ExonCount
RRAGC	NM_022157	chr1	39303870	39325444	-	7
MYCBP	NM_012333	chr1	39328165	39339020	-	5
GJA9	NM_030772	chr1	39339741	39347259	-	2
RHBDL2	NM_017821	chr1	39351479	39407502	-	8
AKIRIN1	NM_024595	chr1	39456948	39471731	+	5
NDUFS5	NM_004552	chr1	39492022	39500287	+	3
BMP8A	NM_181809	chr1	39957308	39995541	+	7
PABPC4	NM_001135653	chr1	40026488	40042462	-	16
HEYL	NM_014571	chr1	40089107	40105315	-	5
NT5C1A	NM_032526	chr1	40116901	40137779	-	6
HPCAL4	NM_016257	chr1	40144320	40157105	-	4
PPIE	NM_006112	chr1	40204554	40222441	+	10
BMP8B	NM_001720	chr1	40222854	40254537	-	7
OXCT2	NM_022120	chr1	40235195	40237020	-	1
TRIT1	NM_017646	chr1	40303782	40349176	-	11
MYCL	NM_001033081	chr1	40361100	40367589	-	2
MFSD2A	NM_032793	chr1	40420817	40435628	+	14
CAP1	NM_006367	chr1	40506401	40538320	+	13
PPT1	NM_000310	chr1	40538384	40562924	-	9
RLF	NM_012421	chr1	40627059	40706593	+	8
TMCO2	NM_001008740	chr1	40713609	40717356	+	2
ZMPSTE24	NM_005857	chr1	40723908	40759852	+	10
COL9A2	NM_001852	chr1	40766161	40782958	-	32
SMAP2	NM_022733	chr1	40839399	40888994	+	10
ZFP69B	NM_023070	chr1	40916148	40929387	+	5
ZFP69	NM_001320179	chr1	40942962	40962015	+	6
EXO5	NM_001346953	chr1	40974439	40981710	+	4
ZNF684	NM_152373	chr1	40997309	41013839	+	5
RIMS3	NM_014747	chr1	41086352	41131354	-	8
NFYC	NM_014223	chr1	41157376	41237275	+	10
KCNQ4	NM_004700	chr1	41249459	41306124	+	14
CITED4	NM_133467	chr1	41326726	41328035	-	1
CTPS1	NM_001905	chr1	41445368	41478237	+	19
SLFNL1	NM_144990	chr1	41481269	41487397	-	6
FOXO6	NM_001291281	chr1	41827106	41849262	+	3
EDN2	NM_001956	chr1	41944446	41950354	-	5
HIVEP3	NM_024503	chr1	41972036	42384593	-	9
GUCA2B	NM_007102	chr1	42619081	42621491	+	3
GUCA2A	NM_033553	chr1	42628361	42630416	-	3
FOXJ3	NM_014947	chr1	42642219	42800906	-	13
RIMKLA	NM_173642	chr1	42846463	42889903	+	5
ZMYND12	NM_032257	chr1	42896000	42921693	-	8
PPCS	NM_024664	chr1	42922214	42926907	+	3
PPIH	NM_006347	chr1	43124094	43142429	+	10
YBX1	NM_004559	chr1	43148089	43169476	+	8
CLDN19	NM_148960	chr1	43198764	43205907	-	5
P3H1	NM_022356	chr1	43212045	43232699	-	15
C1orf50	NM_024097	chr1	43232920	43245162	+	5
TMEM269	NM_001354602	chr1	43250703	43266489	+	6
SVBP	NM_199342	chr1	43272723	43283068	-	3
ERMAP	NM_001017922	chr1	43282793	43310662	+	12
ZNF691	NM_001242739	chr1	43312284	43318148	+	4
SLC2A1	NM_006516	chr1	43391024	43424539	-	10
EBNA1BP2	NM_006824	chr1	43629855	43637961	-	9
CFAP57	NM_001378189	chr1	43638001	43720029	+	23
TMEM125	NM_144626	chr1	43735654	43739673	+	4
C1orf210	NM_182517	chr1	43747548	43751252	-	3
TIE1	NM_005424	chr1	43766653	43788779	+	23
MPL	NM_005373	chr1	43803489	43820137	+	12
CDC20	NM_001255	chr1	43824652	43828874	+	11
ELOVL1	NM_022821	chr1	43829072	43833682	-	8
MED8	NM_201542	chr1	43849588	43855471	-	7
SZT2	NM_001365999	chr1	43855570	43919918	+	72
HYI	NM_001190880	chr1	43916660	43919602	-	8
PTPRF	NM_002840	chr1	43996554	44089337	+	34
KDM4A	NM_014663	chr1	44115820	44171189	+	22
ST3GAL3	NM_006279	chr1	44173207	44396831	+	12
ARTN	NM_057091	chr1	44399473	44402912	+	5
IPO13	NM_014652	chr1	44412622	44433694	+	20
DPH2	NM_001384	chr1	44435682	44439041	+	6
ATP6V0B	NM_004047	chr1	44440632	44443967	+	8
B4GALT2	NM_003780	chr1	44444882	44456840	+	7
CCDC24	NM_152499	chr1	44457271	44462200	+	9
SLC6A9	NM_001024845	chr1	44462155	44497134	-	14
KLF17	NM_173484	chr1	44584493	44600812	+	4
KLF18	NM_001358438	chr1	44603493	44607303	-	2
DMAP1	NM_019100	chr1	44679143	44686345	+	10
ERI3	NM_024066	chr1	44686742	44820929	-	9
RNF220	NM_018150	chr1	44870927	45117395	+	15
TMEM53	NM_024587	chr1	45118919	45140153	-	3
ARMH1	NM_001145636	chr1	45140386	45191263	+	12
KIF2C	NM_006845	chr1	45205509	45233439	+	21
RPS8	NM_001012	chr1	45241212	45244451	+	6
BEST4	NM_153274	chr1	45249257	45253842	-	9
PLK3	NM_004073	chr1	45266049	45271662	+	15
DYNLT4	NM_001377534	chr1	45271565	45273023	-	3
BTBD19	NM_001136537	chr1	45274195	45279801	+	8
PTCH2	NM_003738	chr1	45287610	45308925	-	22
EIF2B3	NM_020365	chr1	45316194	45452267	-	12
HECTD3	NM_024602	chr1	45468220	45476996	-	21
UROD	NM_000374	chr1	45477926	45481247	+	10
ZSWIM5	NM_020883	chr1	45482071	45672277	-	14
HPDL	NM_032756	chr1	45792567	45794382	+	1
MUTYH	NM_001048174	chr1	45794914	45805642	-	16
TOE1	NM_025077	chr1	45805842	45809645	+	8
TESK2	NM_007170	chr1	45809555	45956835	-	11
CCDC163	NM_001102601	chr1	45959538	45965745	-	5
MMACHC	NM_015506	chr1	45965972	45979054	+	4
PRDX1	NM_181697	chr1	45976723	45987556	-	6
AKR1A1	NM_153326	chr1	46016498	46035721	+	9
NASP	NM_002482	chr1	46049713	46084565	+	15
CCDC17	NM_001114938	chr1	46085716	46089726	-	13
GPBP1L1	NM_021639	chr1	46092976	46152205	-	13
TMEM69	NM_016486	chr1	46153853	46160108	+	3
IPP	NM_005897	chr1	46164383	46216325	-	9
MAST2	NM_015112	chr1	46269284	46501794	+	29
PIK3R3	NM_003629	chr1	46505812	46598301	-	10
TSPAN1	NM_005727	chr1	46640759	46651634	+	9
P3R3URF	NM_001328655	chr1	46641158	46642160	-	2
POMGNT1	NM_017739	chr1	46654355	46664106	-	22
LURAP1	NM_001013615	chr1	46669006	46686928	+	2
RAD54L	NM_003579	chr1	46713435	46744145	+	18
LRRC41	NM_006369	chr1	46743134	46769288	-	10
UQCRH	NM_006004	chr1	46769370	46782448	+	4
NSUN4	NM_199044	chr1	46806479	46830690	+	6
FAAH	NM_001441	chr1	46859989	46879517	+	15
DMBX1	NM_172225	chr1	46955508	46981888	+	6
KNCN	NM_001322255	chr1	47011313	47017319	-	4
MKNK1	NM_001135553	chr1	47023079	47069940	-	13
MOB3C	NM_201403	chr1	47073387	47082563	-	4
TEX38	NM_001145474	chr1	47137526	47139266	+	2
EFCAB14	NM_014774	chr1	47140831	47184786	-	11
CYP4B1	NM_001099772	chr1	47264718	47285085	+	12
CYP4A11	NM_000778	chr1	47394860	47407148	-	12
CYP4X1	NM_178033	chr1	47489341	47516423	+	12
CYP4Z1	NM_178134	chr1	47532903	47583990	+	12
CYP4A22	NM_001010969	chr1	47603113	47615399	+	12
PDZK1IP1	NM_005764	chr1	47649254	47655708	-	4
TAL1	NM_001290403	chr1	47681963	47697897	-	5
STIL	NM_001048166	chr1	47715811	47779819	-	17
CMPK1	NM_016308	chr1	47799462	47844511	+	6
FOXE3	NM_012186	chr1	47881957	47883724	+	1
FOXD2	NM_004474	chr1	47903716	47906363	+	1
TRABD2B	NM_001194986	chr1	48226200	48463057	-	7
SLC5A9	NM_001011547	chr1	48688388	48714310	+	14
SPATA6	NM_019073	chr1	48761045	48937876	-	13
AGBL4	NM_032785	chr1	48998526	50489626	-	14
BEND5	NM_024603	chr1	49193191	49242563	-	6
ELAVL4	NM_001144774	chr1	50574592	50669444	+	7
DMRTA2	NM_032110	chr1	50883222	50889115	-	3
FAF1	NM_007051	chr1	50902700	51425939	-	19
CDKN2C	NM_078626	chr1	51435917	51440306	+	2
C1orf185	NM_001136508	chr1	51567900	51613758	+	5
RNF11	NM_014372	chr1	51701945	51739119	+	3
TTC39A	NM_001297663	chr1	51752930	51796234	-	18
EPS15	NM_001981	chr1	51819935	51984938	-	25
OSBPL9	NM_024586	chr1	52082764	52254891	+	24
NRDC	NM_001101662	chr1	52254882	52344399	-	31
RAB3B	NM_002867	chr1	52373628	52456372	-	5
TXNDC12	NM_015913	chr1	52485803	52520863	-	7
KTI12	NM_138417	chr1	52497775	52499482	-	1
BTF3L4	NM_152265	chr1	52521967	52556388	+	6
ZFYVE9	NM_004799	chr1	52607761	52812306	+	19
CC2D1B	NM_001330585	chr1	52816269	52831877	-	25
ORC1	NM_004153	chr1	52838501	52870095	-	17
PRPF38A	NM_032864	chr1	52870274	52886508	+	10
TUT4	NM_001009881	chr1	52888947	53018764	-	30
GPX7	NM_015696	chr1	53068043	53074723	+	3
SHISAL2A	NM_001042693	chr1	53098840	53122737	+	3
COA7	NM_023077	chr1	53150121	53164019	-	3
ZYG11B	NM_024646	chr1	53192125	53293008	+	14
ZYG11A	NM_001004339	chr1	53308432	53360670	+	14
ECHDC2	NM_001198961	chr1	53361582	53387412	-	10
SCP2	NM_002979	chr1	53392948	53517370	+	16
PODN	NM_153703	chr1	53527885	53551166	+	11
SLC1A7	NM_006671	chr1	53552855	53608310	-	11
CPT2	NM_000098	chr1	53662496	53679869	+	5
CZIB	NM_017887	chr1	53679771	53686306	-	8
MAGOH	NM_002370	chr1	53692572	53704190	-	5
LRP8	NM_004631	chr1	53708036	53793742	-	19
DMRTB1	NM_033067	chr1	53925072	53933161	+	4
GLIS1	NM_001367484	chr1	53971912	54204837	-	11
NDC1	NM_018087	chr1	54231151	54303969	-	18
YIPF1	NM_018982	chr1	54317406	54355470	-	11
DIO1	NM_000792	chr1	54359860	54376759	+	4
LRRC42	NM_001256409	chr1	54412023	54433841	+	9
LDLRAD1	NM_001010978	chr1	54472971	54483859	-	6
TMEM59	NM_004872	chr1	54492354	54518877	-	8
TCEANC2	NM_153035	chr1	54519281	54571755	+	5
CDCP2	NM_001353655	chr1	54598360	54618854	-	7
CYB5RL	NM_001031672	chr1	54635324	54665703	-	8
MRPL37	NM_016491	chr1	54665840	54684056	+	7
SSBP3	NM_145716	chr1	54691105	54872067	-	18
ACOT11	NM_147161	chr1	55013901	55076002	+	16
FAM151A	NM_176782	chr1	55074854	55089198	-	8
MROH7	NM_001039464	chr1	55107459	55175939	+	24
TTC4	NM_004623	chr1	55181534	55208330	+	10
PARS2	NM_152268	chr1	55222571	55230196	-	2
TTC22	NM_001114108	chr1	55245385	55266996	-	7
DHCR24	NM_014762	chr1	55315300	55352868	-	9
TMEM61	NM_182532	chr1	55446301	55457961	+	3
BSND	NM_057176	chr1	55464606	55482845	+	4
PCSK9	NM_174936	chr1	55505221	55530525	+	12
USP24	NM_015306	chr1	55532032	55681037	-	68
PLPP3	NM_003713	chr1	56960433	57045236	-	6
PRKAA2	NM_006252	chr1	57110987	57181008	+	9
FYB2	NM_001004303	chr1	57184462	57285077	-	20
C8A	NM_000562	chr1	57320470	57383896	+	11
C8B	NM_000066	chr1	57394880	57431688	-	12
DAB1	NM_001365792	chr1	57460451	57889732	-	15
OMA1	NM_145243	chr1	58946391	59012398	-	9
TACSTD2	NM_002353	chr1	59041105	59042924	-	1
MYSM1	NM_001085487	chr1	59120415	59165734	-	20
JUN	NM_002228	chr1	59246463	59249719	-	1
FGGY	NM_018291	chr1	59762766	60228402	+	16
HOOK1	NM_015888	chr1	60280621	60341994	+	22
CYP2J2	NM_000775	chr1	60358980	60392445	-	9
C1orf87	NM_152377	chr1	60456066	60539442	-	12
NFIA	NM_001134673	chr1	61548233	61928460	+	11
TM2D1	NM_032027	chr1	62146718	62190813	-	7
PATJ	NM_001350145	chr1	62208152	62629587	+	44
L1TD1	NM_019079	chr1	62660521	62678000	+	4
KANK4	NM_181712	chr1	62701837	62785105	-	10
USP1	NM_003368	chr1	62902720	62917475	+	9
DOCK7	NM_001367561	chr1	62920397	63154057	-	50
ANGPTL3	NM_014495	chr1	63063191	63071984	+	7
ATG4C	NM_032852	chr1	63249803	63331187	+	11
FOXD3	NM_012183	chr1	63788238	63790799	+	1
ALG6	NM_013339	chr1	63833298	63904224	+	15
ITGB3BP	NM_014288	chr1	63906441	63988896	-	9
EFCAB7	NM_032437	chr1	63989196	64038364	+	14
PGM1	NM_002633	chr1	64059082	64125916	+	11
ROR1	NM_005012	chr1	64239688	64647181	+	9
UBE2U	NM_001366232	chr1	64669306	64733051	+	10
CACHD1	NM_020925	chr1	64935812	65158736	+	27
RAVER2	NM_001366165	chr1	65210656	65298915	+	12
JAK1	NM_002227	chr1	65298912	65432232	-	25
AK4	NM_013410	chr1	65613886	65697828	+	5
DNAJC6	NM_001256864	chr1	65775226	65881554	+	19
LEPROT	NM_017526	chr1	65886351	65901690	+	4
LEPR	NM_002303	chr1	65886351	66107242	+	20
PDE4B	NM_002600	chr1	66258578	66840257	+	17
SGIP1	NM_032291	chr1	66999836	67216822	+	25
DYNLT5	NM_152665	chr1	67218142	67244730	+	5
INSL5	NM_005478	chr1	67263423	67266959	-	2
DNAI4	NM_024763	chr1	67278568	67390539	-	17
MIER1	NM_001077700	chr1	67390673	67454302	+	14
SLC35D1	NM_015139	chr1	67465033	67519831	-	12
C1orf141	NM_001276351	chr1	67557848	67600653	-	8
IL23R	NM_144701	chr1	67632137	67725662	+	11
IL12RB2	NM_001374259	chr1	67773556	67864407	+	17
SERBP1	NM_001018069	chr1	67873493	67896085	-	8
GADD45A	NM_001924	chr1	68150884	68154017	+	4
GNG12	NM_018841	chr1	68167158	68299150	-	4
DIRAS3	NM_004675	chr1	68511569	68517314	-	4
WLS	NM_024911	chr1	68591043	68698206	-	12
RPE65	NM_000329	chr1	68894505	68915637	-	14
DEPDC1	NM_001114120	chr1	68939835	68962765	-	12
LRRC7	NM_001370785	chr1	70033605	70610047	+	27
LRRC40	NM_017768	chr1	70610488	70671262	-	15
SRSF11	NM_001350605	chr1	70687063	70718735	+	12
ANKRD13C	NM_030816	chr1	70724682	70820405	-	13
CTH	NM_001902	chr1	70876951	70905534	+	12
PTGER3	NM_198719	chr1	71436465	71513499	-	4
ZRANB2	NM_203350	chr1	71528974	71546718	-	10
NEGR1	NM_173808	chr1	71861626	72748222	-	7
LRRIQ3	NM_001105659	chr1	74491699	74663860	-	8
FPGT	NM_003838	chr1	74663926	74674386	+	4
TNNI3K	NM_015978	chr1	74701071	75010112	+	25
LRRC53	NM_001382280	chr1	74935060	74978295	-	5
ERICH3	NM_001002912	chr1	75033807	75139476	-	15
CRYZ	NM_001889	chr1	75171170	75198734	-	9
TYW3	NM_138467	chr1	75198836	75232361	+	6
LHX8	NM_001256114	chr1	75600073	75627218	+	9
SLC44A5	NM_001130058	chr1	75667814	76076799	-	24
ACADM	NM_000016	chr1	76190394	76229364	+	12
RABGGTB	NM_004582	chr1	76251941	76260771	+	9
MSH4	NM_002440	chr1	76262567	76378927	+	20
ASB17	NM_080868	chr1	76384558	76398089	-	3
ST6GALNAC3	NM_152996	chr1	76540431	77100288	+	5
ST6GALNAC5	NM_030965	chr1	77333165	77533231	+	5
PIGK	NM_005482	chr1	77554674	77685115	-	11
AK5	NM_174858	chr1	77747704	78025651	+	14
ZZZ3	NM_015534	chr1	78028101	78148343	-	15
USP33	NM_201624	chr1	78161672	78225537	-	24
NEXN	NM_144573	chr1	78354309	78409580	+	13
FUBP1	NM_003902	chr1	78409740	78444756	-	20
DNAJB4	NM_007034	chr1	78470623	78483648	+	3
GIPC2	NM_017655	chr1	78511650	78604128	+	6
PTGFR	NM_000959	chr1	78956659	79006386	+	3
IFI44L	NM_006820	chr1	79086133	79111830	+	9
IFI44	NM_006417	chr1	79115516	79129758	+	9
ADGRL4	NM_022159	chr1	79355449	79472415	-	15
ADGRL2	NM_001366006	chr1	82266619	82459616	+	24
TTLL7	NM_024686	chr1	84330707	84464815	-	21
PRKACB	NM_182948	chr1	84609954	84704181	+	10
SAMD13	NM_001134663	chr1	84767391	84816481	+	4
DNASE2B	NM_021233	chr1	84864167	84880701	+	6
RPF1	NM_025065	chr1	84944949	84964035	+	9
GNG5	NM_005274	chr1	84964008	84972264	-	4
CTBS	NM_004388	chr1	85015294	85040123	-	7
SSX2IP	NM_001166293	chr1	85109389	85156144	-	14
LPAR3	NM_012152	chr1	85277285	85358889	-	3
MCOLN2	NM_153259	chr1	85391266	85462796	-	14
MCOLN3	NM_018298	chr1	85483765	85514183	-	13
DNAI3	NM_145172	chr1	85528010	85598821	+	23
SYDE2	NM_032184	chr1	85622572	85666699	-	7
C1orf52	NM_198077	chr1	85715636	85725345	-	3
BCL10	NM_003921	chr1	85731459	85742315	-	3
DDAH1	NM_012137	chr1	85784168	85930842	-	6
CCN1	NM_001554	chr1	86046444	86049633	+	5
ZNHIT6	NM_017953	chr1	86115100	86174116	-	10
COL24A1	NM_152890	chr1	86194916	86622455	-	60
ODF2L	NM_001366781	chr1	86812520	86862006	-	17
CLCA2	NM_006536	chr1	86889854	86922236	+	14
CLCA1	NM_001285	chr1	86934610	86965942	+	14
CLCA4	NM_012128	chr1	87012761	87046437	+	14
SH3GLB1	NM_016009	chr1	87170259	87213867	+	9
SELENOF	NM_004261	chr1	87328128	87379809	-	5
HS2ST1	NM_012262	chr1	87380318	87575665	+	7
LMO4	NM_006769	chr1	87794563	87814606	+	5
PKN2	NM_006256	chr1	89149956	89301938	+	22
GTF2B	NM_001514	chr1	89318316	89357250	-	7
KYAT3	NM_001008661	chr1	89401462	89458312	-	14
RBMXL1	NM_001162536	chr1	89445139	89458312	-	3
GBP3	NM_018284	chr1	89472363	89488549	-	11
GBP1	NM_002053	chr1	89518002	89530891	-	11
GBP2	NM_004120	chr1	89571815	89591797	-	11
GBP7	NM_207398	chr1	89597425	89641686	-	11
GBP4	NM_052941	chr1	89646827	89664625	-	11
GBP5	NM_052942	chr1	89724633	89738543	-	12
GBP6	NM_198460	chr1	89829618	89853719	+	11
LRRC8B	NM_001369817	chr1	89990388	90063420	+	6
LRRC8C	NM_032270	chr1	90098679	90185092	+	3
LRRC8D	NM_001134479	chr1	90286591	90402170	+	3
ZNF326	NM_182976	chr1	90460669	90501092	+	12
BARHL2	NM_020063	chr1	91177096	91182859	-	3
ZNF644	NM_201269	chr1	91380861	91487592	-	6
HFM1	NM_001017975	chr1	91726323	91870394	-	39
CDC7	NM_003503	chr1	91966408	91991321	+	12
TGFBR3	NM_003243	chr1	92145900	92351708	-	17
BRDT	NM_207189	chr1	92414958	92479978	+	19
EPHX4	NM_173567	chr1	92495542	92529095	+	7
SETSIP	NM_001287737	chr1	92539993	92541029	-	1
BTBD8	NM_001376131	chr1	92545902	92650280	+	18
C1orf146	NM_001012425	chr1	92683472	92711370	+	6
GLMN	NM_053274	chr1	92711959	92764544	-	19
RPAP2	NM_024813	chr1	92764616	92867613	+	13
GFI1	NM_005263	chr1	92938600	92952482	-	7
EVI5	NM_001350197	chr1	92974253	93250665	-	20
RPL5	NM_000969	chr1	93297597	93307481	+	8
DIPK1A	NM_001006605	chr1	93307724	93427019	-	5
MTF2	NM_007358	chr1	93544840	93604633	+	15
TMED5	NM_016040	chr1	93615299	93645970	-	4
CCDC18	NM_001378204	chr1	93646281	93744287	+	29
DR1	NM_001938	chr1	93811464	93835050	+	3
FNBP1L	NM_001164473	chr1	93913675	94020218	+	17
BCAR3	NM_003567	chr1	94027298	94147393	-	12
DNTTIP2	NM_014597	chr1	94331840	94344762	-	7
GCLM	NM_002061	chr1	94350755	94374986	-	7
ABCA4	NM_000350	chr1	94458390	94586704	-	50
ARHGAP29	NM_004815	chr1	94634461	94703140	-	23
ABCD3	NM_002858	chr1	94883945	94984219	+	23
F3	NM_001993	chr1	94994729	95007315	-	6
SLC44A3	NM_001114106	chr1	95285913	95360802	+	15
CNN3	NM_001839	chr1	95362513	95392666	-	7
ALG14	NM_144988	chr1	95439961	95538507	-	4
TLCD4	NM_152487	chr1	95582911	95663163	+	7
RWDD3	NM_015485	chr1	95699766	95712781	+	4
PTBP2	NM_021190	chr1	97187340	97280605	+	14
DPYD	NM_000110	chr1	97543299	98386590	-	23
SNX7	NM_015976	chr1	99127277	99226056	+	9
PLPPR5	NM_001037317	chr1	99355801	99470417	-	6
PLPPR4	NM_014839	chr1	99730048	99775140	+	7
PALMD	NM_017734	chr1	100111669	100160091	+	8
FRRS1	NM_001361041	chr1	100169526	100232191	-	17
AGL	NM_000642	chr1	100315917	100389576	+	34
SLC35A3	NM_012243	chr1	100435552	100501190	+	8
MFSD14A	NM_033055	chr1	100503651	100548933	+	12
SASS6	NM_194292	chr1	100549126	100598486	-	17
TRMT13	NM_019083	chr1	100598706	100616054	+	11
LRRC39	NM_144620	chr1	100614004	100643812	-	10
DBT	NM_001918	chr1	100652475	100715390	-	11
RTCA	NM_003729	chr1	100731772	100758325	+	11
CDC14A	NM_003672	chr1	100818062	100985833	+	16
GPR88	NM_022049	chr1	101003695	101007577	+	2
VCAM1	NM_001078	chr1	101185298	101204601	+	9
EXTL2	NM_001033025	chr1	101337947	101360398	-	5
SLC30A7	NM_133496	chr1	101361646	101447313	+	11
DPH5	NM_015958	chr1	101455179	101491340	-	8
S1PR1	NM_001400	chr1	101702575	101707074	+	2
OLFM3	NM_058170	chr1	102268116	102462482	-	6
COL11A1	NM_001854	chr1	103342029	103574078	-	67
RNPC3	NM_017619	chr1	104068321	104097861	+	15
AMY2B	NM_001387437	chr1	104114211	104122156	+	10
AMY2A	NM_000699	chr1	104160049	104168402	+	10
AMY1A	NM_004038	chr1	104198382	104207176	+	11
AMY1B	NM_001008218	chr1	104230037	104238832	-	11
AMY1C	NM_001008219	chr1	104292520	104301314	+	11
PRMT6	NM_018137	chr1	107599296	107601916	+	1
NTNG1	NM_001113226	chr1	107683661	108027545	+	8
VAV3	NM_006113	chr1	108113783	108507802	-	27
SLC25A24	NM_013386	chr1	108676665	108742965	-	10
NBPF4	NM_001143989	chr1	108765963	108786703	-	15
NBPF6	NM_001143988	chr1	108992965	109014542	+	15
HENMT1	NM_001102592	chr1	109190917	109203715	-	8
PRPF38B	NM_018061	chr1	109234932	109245550	+	6
FNDC7	NM_001144937	chr1	109255530	109285371	+	13
STXBP3	NM_007269	chr1	109289296	109352145	+	19
AKNAD1	NM_152763	chr1	109358523	109399716	-	16
GPSM2	NM_013296	chr1	109419607	109477167	+	15
CLCC1	NM_001377458	chr1	109472127	109506106	-	13
WDR47	NM_001142551	chr1	109512836	109584724	-	15
TAF13	NM_005645	chr1	109606762	109618625	-	4
TMEM167B	NM_020141	chr1	109633386	109639556	+	3
ELAPOR1	NM_020775	chr1	109656737	109749403	+	22
SARS1	NM_006513	chr1	109756540	109780804	+	11
CELSR2	NM_001408	chr1	109792161	109818373	+	34
PSRC1	NM_001032291	chr1	109822178	109825767	-	8
MYBPHL	NM_001010985	chr1	109834987	109849633	-	9
SORT1	NM_002959	chr1	109852197	109940540	-	20
PSMA5	NM_002790	chr1	109941664	109969070	-	9
SYPL2	NM_001040709	chr1	110009168	110024756	+	6
ATXN7L2	NM_001350175	chr1	110026527	110035356	+	11
CYB561D1	NM_182580	chr1	110036716	110043057	+	3
AMIGO1	NM_020703	chr1	110046800	110052349	-	2
GNAI3	NM_006496	chr1	110091237	110142817	+	9
GNAT2	NM_001377295	chr1	110145713	110162238	-	9
AMPD2	NM_001368809	chr1	110162459	110174673	+	19
GSTM4	NM_000850	chr1	110198721	110204322	+	8
GSTM2	NM_000848	chr1	110210679	110217908	+	8
GSTM1	NM_000561	chr1	110230439	110236367	+	8
GSTM5	NM_000851	chr1	110254873	110260890	+	8
GSTM3	NM_000849	chr1	110276559	110283660	-	9
EPS8L3	NM_133181	chr1	110292702	110306545	-	19
CSF1	NM_000757	chr1	110453471	110473614	+	9
AHCYL1	NM_006621	chr1	110527387	110566364	+	17
STRIP1	NM_033088	chr1	110577246	110597263	+	21
ALX3	NM_006492	chr1	110602492	110613294	-	4
UBL4B	NM_203412	chr1	110655065	110656569	+	1
SLC6A17	NM_001010898	chr1	110693116	110744824	+	12
KCNC4	NM_001039574	chr1	110752936	110776666	+	4
RBM15	NM_022768	chr1	110881999	110889299	+	3
SLC16A4	NM_004696	chr1	110905479	110933648	-	9
LAMTOR5	NM_001382293	chr1	110943875	110950316	-	4
PROK1	NM_032414	chr1	110993771	110999980	+	3
KCNA10	NM_005549	chr1	111059839	111061797	-	1
KCNA2	NM_004974	chr1	111136202	111148980	-	3
KCNA3	NM_002232	chr1	111215087	111217562	-	1
CD53	NM_000560	chr1	111415770	111442544	+	8
LRIF1	NM_018372	chr1	111489812	111506544	-	4
DRAM2	NM_001349884	chr1	111659785	111682715	-	10
CEPT1	NM_006090	chr1	111682845	111727726	+	9
DENND2D	NM_024901	chr1	111728591	111743268	-	12
CHI3L2	NM_004000	chr1	111770335	111786062	+	11
CHIA	NM_201653	chr1	111833473	111863185	+	12
OVGP1	NM_002557	chr1	111956941	111970357	-	11
WDR77	NM_024102	chr1	111982512	111991878	-	10
ATP5PB	NM_001688	chr1	111992086	112005395	+	7
C1orf162	NM_001300834	chr1	112016606	112021134	+	6
TMIGD3	NM_020683	chr1	112025970	112046255	-	6
ADORA3	NM_000677	chr1	112042051	112046255	-	2
RAP1A	NM_002884	chr1	112162411	112259313	+	8
INKA2	NM_019099	chr1	112264686	112282017	-	2
DDX20	NM_007204	chr1	112298523	112310622	+	11
KCND3	NM_001378969	chr1	112313284	112532290	-	8
CTTNBP2NL	NM_018704	chr1	112938836	113003786	+	6
WNT2B	NM_024494	chr1	113051587	113072787	+	5
ST7L	NM_017744	chr1	113066136	113161763	-	15
CAPZA1	NM_006135	chr1	113162454	113214238	+	10
MOV10	NM_001321324	chr1	113217293	113243361	+	21
RHOC	NM_175744	chr1	113243753	113249749	-	6
PPM1J	NM_005167	chr1	113252616	113257950	-	10
TAFA3	NM_182759	chr1	113261527	113269857	+	6
SLC16A1	NM_003051	chr1	113454469	113498818	-	5
LRIG2	NM_014813	chr1	113615820	113674882	+	18
MAGI3	NM_001142782	chr1	113933137	114228545	+	21
PHTF1	NM_001323043	chr1	114239453	114302108	-	19
RSBN1	NM_018364	chr1	114304454	114355098	-	7
PTPN22	NM_015967	chr1	114356433	114414334	-	21
BCL2L15	NM_001010922	chr1	114419438	114430203	-	4
AP4B1	NM_001253852	chr1	114436816	114447421	-	10
DCLRE1B	NM_022836	chr1	114447948	114456708	+	4
HIPK1	NM_198268	chr1	114471946	114520491	+	16
OLFML3	NM_020190	chr1	114522096	114524875	+	3
SYT6	NM_001253772	chr1	114631914	114696491	-	8
TRIM33	NM_015906	chr1	114935412	115053824	-	20
BCAS2	NM_005872	chr1	115110178	115124236	-	7
DENND2C	NM_001256404	chr1	115125471	115212670	-	21
AMPD1	NM_000036	chr1	115215719	115238167	-	16
NRAS	NM_002524	chr1	115247090	115259392	-	7
CSDE1	NM_001007553	chr1	115259537	115300605	-	20
SIKE1	NM_025073	chr1	115312100	115323306	-	5
SYCP1	NM_003176	chr1	115397484	115537991	+	32
TSHB	NM_000549	chr1	115572447	115576923	+	3
TSPAN2	NM_005725	chr1	115590632	115632124	-	8
NGF	NM_002506	chr1	115828538	115880870	-	3
VANGL1	NM_138959	chr1	116184591	116240842	+	8
CASQ2	NM_001232	chr1	116242642	116311335	-	11
NHLH2	NM_005599	chr1	116378998	116383747	-	3
SLC22A15	NM_018420	chr1	116519134	116612675	+	12
MAB21L3	NM_152367	chr1	116654020	116680770	+	8
ATP1A1	NM_000701	chr1	116915866	116947396	+	23
CD58	NM_001779	chr1	117057156	117113648	-	6
IGSF3	NM_001007237	chr1	117117030	117210355	-	11
